foot speed stride_length step_width cadence
1 1.01515 1.234245 0.146385 98.630137
0 1.196613 1.269721 0.070098 112.781955
0 1.54301 1.364528 0.145478 135.849057
0 0.905099 0.946418 0.117148 119.402985
0 1.837413 1.63173 0.107636 135.849057
0 1.340141 1.34839 0.089062 118.226601
1 1.149074 1.316689 0.081614 104.166667
0 1.480987 1.497318 0.101451 118.226601
0 0.488132 1.067905 0.108687 55.147059
0 2.03926 1.744533 0.096151 140.350877
1 1.447233 1.435237 0.0804 122.44898
0 1.024429 1.237482 0.079806 99.173554
1 1.517495 1.539019 0.105848 116.129032
0 0.715461 1.15429 0.09937 75
0 2.037008 1.585809 0.082733 154.83871
0 1.085942 1.313796 0.046371 98.684211
1 1.150364 1.123904 0.033593 124.137931
0 1.026177 1.144937 0.043178 106.761566
0 1.299508 1.310902 0.093512 120
1 0.914649 1.209365 0.113446 90.909091
1 1.053417 1.23648 0.117815 102.12766
1 1.178692 1.332985 0.10189 105.263158
1 1.800636 1.444505 0.083599 148.148148
1 1.180703 1.293994 0.072366 110.091743
0 1.027699 1.295437 0.102809 93.506494
0 1.626242 1.261531 0.057351 154.83871
1 1.26827 1.343818 0.083045 112.676056
0 0.909777 1.020901 0.097432 101.408451
0 1.241301 1.389504 0.07454 107.623318
0 0.752414 0.962171 0.13443 92.307692
1 1.406144 1.553914 0.090876 106.19469
1 1.509792 1.584798 0.115479 115.384615
0 1.20198 1.285041 0.091697 112.5
0 1.222975 1.198178 0.059006 124.352332
1 1.346318 1.379029 0.117329 115.942029
0 1.026541 1.244599 0.122362 98.360656
0 1.332237 1.053276 0.069066 150
0 1.326291 1.39913 0.181353 114.285714
0 1.695215 1.601585 0.07486 126.315789
0 1.156019 1.06741 0.074123 129.72973
0 0.748912 1.067581 0.060558 83.56546
0 0.823728 1.238686 0.127644 78.26087
0 2.015644 1.891606 0.117643 126.315789
0 1.237424 1.408599 0.09765 105.726872
0 2.076295 1.762333 0.07897 141.176471
0 1.755921 1.494057 0.11144 135.849057
1 1.944146 1.579667 0.08881 147.239264
0 0.914715 1.000796 0.143276 112.5
0 1.460978 1.263854 0.064081 138.728324
1 1.007758 1.197278 0.109787 101.408451
0 0.90808 1.210377 0.10556 88.888889
0 1.485331 1.528144 0.086781 114.832536
0 0.859152 1.085319 0.036731 98.630137
0 0.932899 1.165473 0.069984 94.736842
0 1.229415 1.306966 0.08565 114.285714
0 2.096892 1.800331 0.100591 139.534884
0 0.840698 1.124225 0.073433 91.254753
0 1.365108 1.452857 0.090363 112.676056
0 1.359802 1.436055 0.092319 114.285714
0 0.905852 1.263682 0.074888 86.642599
0 1.032633 1.200614 0.083621 104.347826
0 1.659916 1.239062 0.066621 158.940397
0 0.861719 0.983546 0.088395 106.666667
0 0.404684 1.084224 0.114998 46.421663
1 0.911023 1.286244 0.097951 84.210526
0 0.805056 1.098619 0.052501 91.139241
0 0.501239 0.888998 0.129588 70.175439
1 0.724985 0.997968 0.051041 87.209302
1 1.83129 1.796746 0.102085 122.44898
0 0.696277 1.005183 0.097058 84.210526
1 1.045665 1.239369 0.140006 100
0 1.096175 1.320484 0.156058 98.630137
0 0.85952 1.144985 0.105377 90
1 2.061101 1.672443 0.098505 150
0 1.373417 1.285794 0.111942 130.909091
0 1.852475 1.641367 0.071794 135.59322
0 1.349414 1.397982 0.045254 114.832536
1 1.36694 1.470891 0.114174 111.627907
0 1.152118 1.306568 0.101165 105.726872
0 0.895261 1.070443 0.087981 98.765432
1 0.939777 1.262802 0.091575 90.225564
0 1.884285 1.809526 0.082728 125
0 1.915903 1.491431 0.08364 150
1 1.344418 1.268294 0.109998 128.571429
1 1.27862 1.35719 0.099325 113.207547
0 1.092694 1.14619 0.081469 118.032787
1 1.031106 1.324156 0.078681 92.307692
0 1.299072 1.241061 0.063084 127.659574
0 2.000142 1.818508 0.088388 131.147541
0 0.783308 1.109926 0.098079 83.333333
0 1.453898 1.469642 0.113786 117.073171
1 1.822288 1.573367 0.076908 139.534884
0 1.821985 1.532534 0.08459 144.578313
0 1.522951 1.211028 0.077868 156.521739
0 1.380116 1.448005 0.096876 114.285714
0 1.230732 1.530108 0.092327 97.165992
0 1.147882 1.282662 0.11279 107.142857
0 1.444572 1.482608 0.109829 117.073171
1 1.497413 1.498744 0.085085 119.402985
1 1.948279 1.585032 0.078862 147.239264
